足球是人民体育出版社出版的图书作者是何永超著1	足球是人民体育出版社出版的图书作者是何永超著1
比赛汉语词汇拼音bsi意思指在体育生产等活动中比较本领技术的高低	击败拼音jbi释义打败战胜的意思1
媒介是天津社会科学院出版社出版的图书作者是白春生李鸿标著1	广播是1973年科学出版社出版的图书作者是刘寿听
美元UnitedStatesdollar货币缩写USDISO4217货币代码USD符号USA是美利坚合众国萨尔瓦多共和国巴拿马共和国厄瓜多尔共和国东帝汶民主共和国马绍尔群岛共和国密克罗尼西亚联邦基里巴斯共和国和帕劳共和国的法定货币流通的美元纸币是自1929年以来发行的各版钞票1792年美国铸币法案通过后出现当前美元的发行是由美国联邦储备系统控制自1913年起美国建立联邦储备制度发行联邦储备券现行流通的钞票中99以上为联邦储备券美元的发行主管部门是国会具体发行业务由联邦储备银行负责办理在二战以后欧洲大陆国家与美国达成协议同意使用美元进行国际支付此后美元作为储备货币在美国以外的国家广泛使用并最终成为国际货币1截止2021年12月16日晚10点里拉对美元汇率已经超过156创下新低2021年以来里拉对美元贬值幅度超过503	澳大利亚元英语AustralianDollar简写A或AUD是澳大利亚瑙鲁图瓦卢和基里巴斯的货币单位澳大利亚元在外汇市场上为交易量世界第五大的流通货币居美元欧元日元英镑之后占总交易量的62010年澳大利亚元正式取代瑞士法郎的国际地位成为全球第五大流通货币
领土汉语词汇拼音lngt释义名在一国主权管辖下的区域包括陆地领水领海和领空	千米拼音是qinm汉语词语意思是指长度单位俗称公里英文用kmkilometer表示
杯子是一种专门盛水的器皿其主要功能都是用来饮酒或饮茶一般容积不大或在古代喝茶的杯子被称为盖碗基本器型大多是直口或敞口口沿直径与杯高近乎相等有平底圈足或高足考古资料表明最早的杯始见于新石器时代无论是在仰韶文化龙山文化还是河姆渡文化遗址中都见有陶制杯的存在这一时期杯型最为奇特多样带耳的有单耳或双耳杯带足的多为锥形三足杯觚形杯高柄杯等等根据制作材料不同可以分为玻璃杯塑料杯陶瓷杯木杯等2	实体是一个网络用语具有具体而真实的形态或结构的事物能够为人们所感知与亲手接触从数据处理的角度看现实世界中的客观事物称为实体它是现实世界中任何可区分可识别的事物实体可以指人如教师学生等也可以指物如书仓库等它不仅可以指能触及的客观对象还可以指抽象的事件如演出足球赛等它还可以指事物与事物之间的的联系如学生选课客户订货等古希腊哲学家亚里士多德的一个重要哲学概念也是后来西方哲学史上许多哲学家使用的重要哲学范畴
电影是2002年2月1日出版的速成读本该书由约翰劳顿和亚当斯密联合撰写	评论家由安南德图克尔导演伊恩麦克莱恩马克斯特朗杰玛阿特登等参演的电影1
电影是2002年湖南文艺出版社出版的图书1	爆米花是2013年人民音乐出版社出版的图书1
杯子是一种专门盛水的器皿其主要功能都是用来饮酒或饮茶一般容积不大或在古代喝茶的杯子被称为盖碗基本器型大多是直口或敞口口沿直径与杯高近乎相等有平底圈足或高足考古资料表明最早的杯始见于新石器时代无论是在仰韶文化龙山文化还是河姆渡文化遗址中都见有陶制杯的存在这一时期杯型最为奇特多样带耳的有单耳或双耳杯带足的多为锥形三足杯觚形杯高柄杯等等根据制作材料不同可以分为玻璃杯塑料杯陶瓷杯木杯等2	物体指自然界客观存在的一切有形体的物质一般分有气态液态和固态
人口栏目由中央广播电视总台和国家卫生和计划生育委员会中国人口宣传教育中心承办节目开播于1987年前身中国人口2007年改为现名该节目是揭示生命奥秘传递生命科学探寻中国人口与经济人口与社会协调发展的一档专题栏目	发展发展是社会全面的进步包括物质文明精神文明与生态文明的进步人的素质提高与德智体能全面提升社会的可持续发展发展相对于增长而言增长狭义指的是按GDP来计算的国民收入提高经济总量增加经济规模扩大增长是直线的发展是系统的对称的全面的发展是价值的发展不是金钱的增长是效益的发展不是效率的增长是全面的发展不是片面的增长是辨证的发展不是线性的增长发展是人和自然人和社会这一代人和下一代人的对称和谐协调融合与可持续进步1发展指关于人类社会发展特别是社会主义经济社会发展科学的发展理念和发展理论科学发展观的第一要义中共十六大以来以胡锦涛为总书记的党中央围绕建设中国特色社会主义这个主题立足社会主义初级阶段基本国情总结我国发展实践借鉴国外发展经验适应新的发展要求继承和发展中央三代领导集体关于发展的重要思想提出了以人为本全面协调可持续发展的科学发展观词目发展拼音fzhn单词DevelopDeveloped发达Developing发展中Development发展是指一种连续发展是事物从出生开始的一个进步变化的过程是事物的不断更新不断的变化过程既有量的变化又有质的变化有正向的变化也有负向变化
和平是汉语词语拼音是hpng意思是没有战争没有敌视暴力行为的状态	气氛读音qfn汉语词语意思是特定环境中给人强烈感觉的景象或情调表现热烈气氛的四字词语有欢欢喜喜兴高采烈兴致勃勃欢呼雀跃欢欣鼓舞喜上眉梢眉开眼笑欢聚一堂
行星是由美国童书作家教育科普类图书的领军人物盖尔吉本斯所著的一本给幼儿和孩子阅读的科普类绘本书用简洁生动的语言搭配32张彩图给孩子们介绍了太阳系里的几大行星描述了它们的大小位置运转轨道以及我们对这些行星的探索等知识	天文学家天文学家是以天体以及天体运行规律为研究对象的著名人士代表性人物有古希腊天文学家泰勒斯阿里斯塔克斯喜帕恰斯近代的代表人物有伽利略开普勒等中国代表人物有张衡祖冲之徐光启现代有张钰哲等
杯子是一种专门盛水的器皿其主要功能都是用来饮酒或饮茶一般容积不大或在古代喝茶的杯子被称为盖碗基本器型大多是直口或敞口口沿直径与杯高近乎相等有平底圈足或高足考古资料表明最早的杯始见于新石器时代无论是在仰韶文化龙山文化还是河姆渡文化遗址中都见有陶制杯的存在这一时期杯型最为奇特多样带耳的有单耳或双耳杯带足的多为锥形三足杯觚形杯高柄杯等等根据制作材料不同可以分为玻璃杯塑料杯陶瓷杯木杯等2	饮料是供人饮用的液体它是经过定量包装的供直接饮用或按一定比例用水冲调或冲泡饮用的乙醇含量质量分量不超过05的制品饮料也可分为饮料浓浆或固体形态它的作用是解渴补充能量等功能2017年10月27日世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考高于65C的很热的饮料饮用在2A类致癌物清单中1
月暗Moondark即魔术师Magician是美国漫威漫画旗下超级反派初次登场于漫威漫画团队MarvelTeamup第12期1978年3月是一名邪恶的魔术师月暗Moondark先后和蜘蛛侠SpiderMan恶灵骑士GhostRider还有暗夜狼人WerewolfbyMidnight等英雄交锋1	巫师Wizard是美国漫威漫画旗下超级反派初次登场于奇异故事StrangeTales第102期1962年11月本名宾利惠特曼BentleyWittman是一名天才发明家也是恐惧四魔FrightfulFour的创造者
心理学是华中科技大学出版社出版的一本图书作者是李宁主要讲述了心理学的基础理论和知识1	头脑领悟和智力器官的所在1思考能力脑筋如领悟这个论点需要有头脑需要教育2头绪条理如摸不着头脑1
博物馆是一首由苏打绿演唱的歌曲收录在专辑冬未了中	剧院是任大卫的一首诗歌收录于诗集火车和其他
谋杀是一项普通法罪行即如果一个人被他人蓄意以任何方法非法杀死或使他严重受伤后死亡则会犯下罪行基于生命权是行使一切权利的基础且一旦丧失无法恢复谋杀在所有普通法国家中都是最严重的刑事罪行之一该罪的最高法定刑即为该国刑法所允许的最高刑罚例如死刑终身监禁或法定最高监禁年期	误杀是法律用语指主观上无杀人意图因为失误而伤人致死也可称为过失致人死亡具体是指行为人实施行为时应当预见到自己的行为可能导致他人死亡的结果但是因疏忽大意而没有预见或者是已经预见但是轻信能够避免死亡的结果
夏天是李荣春创作的歌曲发行于2010年7月	自然是台湾男歌手郭岷勤的一张音乐专辑收录18首歌曲发行于2017年05月15日
记录是辽海出版社出版的图书作者是申晋书1	数字是2013年未来出版社出版的图书作者是权惠娟1
行星是2016年新蕾出版社出版的图书	太空是2021年青岛出版社出版的图书1
产品是指被人们使用和消费并能满足人们某种需求的任何东西包括有形的物品无形的服务组织观念或它们的组合产品一般可以分为五个层次即核心产品基本产品期望产品附加产品潜在产品核心产品是指整体产品提供给购买者的直接利益和效用基本产品即是核心产品的宏观化期望产品是指顾客在购买产品时一般会期望得到的一组特性或条件附加产品是指超过顾客期望的产品潜在产品指产品或开发物在未来可能产生的改进和变革产品是一组将输入转化为输出的相互关联或相互作用的活动的结果即过程的结果在经济领域中通常也可理解为组织制造的任何制品或制品的组合在现代汉语词典当中的解释为生产出来的物品简单来说是为了满足市场需要而创建的用于运营的功能及服务就是产品产品是以使用为目的物品和服务的综合体产品的价值是由用户来衡量的	员工是指企业单位中各种用工形式的人员包括固定工合同工临时工以及代训工和实习生现代单位的员工跟以往比较有很大的不同他们的素质相对比较高知识性强
问题是2003年中央编译出版社的出版图书1	挑战是2020年上海文艺出版社出版的图书1
受害者是指受侵害的一方包含人身财产等各方面的合法权益在新闻与法律条律中较为多见但还没有较明确的定义受害者一词虽常见于新闻与法律法条中但并不专指构成刑事案件的侵害任何合法权益受侵害的都可以称之为受害者	紧急状态是指发生或者即将发生特别重大突发事件需要国家机关行使紧急权力予以控制消除其社会危害和威胁时有关国家机关按照宪法法律规定的权限决定并宣布局部地区或者全国实行的一种临时性的严重危急状态在紧急状态下各国的法律都有相应规定政府可以采取特别措施来限制社会成员一定的行动政府还有权强制有关公民有偿提供一定劳务或者财物社会成员也有义务配合政府紧急状态下采取的措施来应对和解除突发事件2020年3月美国总统特朗普就新冠肺炎疫情举行新闻发布会宣布美国进入紧急状态12022年1月18日据新西兰驻汤加高级专员公署发布的消息汤加副首相波阿西泰伊宣布国家进入紧急状态该国通讯依然处于中断状态42月18日乌克兰东部民间武装宣布因存在乌克兰发起军事行动的危险即日起向俄罗斯大规模集中疏散当地居民而由于从乌克兰东部涌入的民众人数持续增加俄罗斯南部罗斯托夫州州政府19日宣布即日起进入紧急状态5当地时间2月24日乌克兰总统泽连斯基表示乌克兰国家安全与国防委员会进入紧急状态运行已动员所有军事力量和特种部队6当地时间2022年8月12日由于缺水加拿大努纳武特地区首府伊卡卢伊特Iqaluit宣布进入紧急状态46
政府是指国家进行统治和社会管理的机关是国家表示意志发布命令和处理事务的机关实际上是国家代理组织和官吏的总称政府的概念一般有广义和狭义之分广义的政府是指行使国家权力的所有机关包括立法行政和司法机关狭义的政府是指国家权力的执行机关即国家行政机关1政府是维护国家安全与主权加强国防建设消除社会隐患和内部腐败控制污染保护生态环境推广吸收民间先进科学技术和经验鼓励创新创造淘汰落后产品产能和生产工艺提高国民生产能力优化社会结构研究社会现象培养领导实施城乡规划开展破除迷信减贫扶贫防贫促进社会进步的特殊机构国家公共行政权力的象征承载体和实际行为体政府发布的行政命令行政决策行政法规行政司法行政裁决行政惩处行政监察等等都应符合宪法和有关法律的原则和精神都对其规定的所有适用对象产生效力并以国家武装力量为后盾的强制执行广义的政府是指国家的立法机关行政机关和司法机关等公共机关的总合代表着社会公共权力政府可以被看成是一种制定和实施公共决策实现有序统治的机构它泛指各类国家公共权力机关包括一切依法享有制订法律执行和贯彻法律以及解释和应用法律的公共权力机构即通常所谓的立法机构行政机构和司法机构从这个意义上说政府就是国家的权威性的表现形式	危机读音wij汉语词语意思是有危险祸害的时刻是给测试决策和问题解决能力的一刻是人生团体社会发展的转折点生死攸关利益转移有如分叉路
心理学是2015年浙江大学出版社出版的图书1	医生是12016年湖南教育出版社出版的图书
小伙子是SupperMoment演唱的一首中文歌曲收录于专辑小伙出城记1	兄弟是由歌手Cblock演唱的歌曲该歌曲收录在歌曲合辑中1
改变是2019年江苏文艺出版社出版的图书1	态度是2011年文化艺术出版社出版图书作者是王宁
部署是一个动词读音为bsh指安排布置处理料理语出史记项羽本纪梁部署吴中豪杰为校尉候司马	出发是一首歌曲陈敬容原唱1
图像是人类视觉的基础是自然景物的客观反映是人类认识世界和人类本身的重要源泉图是物体反射或透射光的分布像是人的视觉系统所接受的图在人脑中所形成的印象或认识照片绘画剪贴画地图书法作品手写汉字传真卫星云图影视画面X光片脑电图心电图等都是图像1	表面是一个汉语词语读音是biomin是指人或事物的外表最外层
开始是1999年丁薇演唱的一首歌曲收录于专辑开始中1	比赛是电视剧功夫足球的主题曲由张卫健演唱发行于2004年
本书是生活读书新知三联书店出版的丛书动物系列中的一部作者是苏茜格林	猫是2010年生活读书新知三联书店出版的图书本书是生活读书新知三联书店出版的丛书动物系列中的一部作者是瑟琳蒙泽尔罗杰斯1
老虎是2021年安徽少年儿童出版社出版的图书作者是伊拉古坚科1	动物园是2021年四川人民出版社出版的图书1
心理学是一门研究人类心理现象及其影响下的精神功能和行为活动的科学兼顾突出的理论性和应用实践性心理学包括基础心理学与应用心理学其研究涉及知觉认知情绪思维人格行为习惯人际关系社会关系人工智能IQ性格等许多领域也与日常生活的许多领域家庭教育健康社会等发生关联心理学一方面尝试用大脑运作来解释个体基本的行为与心理机能同时心理学也尝试解释个体心理机能在社会行为与社会动力中的角色另外它还与神经科学医学哲学生物学宗教学等学科有关因为这些学科所探讨的生理或心理作用会影响个体的心智实际上很多人文和自然学科都与心理学有关人类心理活动其本身就与人类生存环境密不可分心理学家从事基础研究的目的是描述解释预测和影响行为应用心理学家还有第五个目的提高人类生活的质量这些目标构成了心理学事业的基础心理学符号在希腊语里是灵魂的意思后来变成英文psyche	以抑郁为特征的疾病状态其特点为情绪低落思维缓慢语言动作减少和迟缓其发作形式轻型抑郁症无精神病症状抑郁症有精神病症状抑郁症复发性抑郁症见抑郁症抑郁性神经症F341depressiveneurosisICD10指出从前是指没有明显内源性抑郁症状而是与应激事件有因果联系以及与适应不良的人格有关现有证据表明没有同质的临床病种符合所有标准CCMD3不用这一名词见内源性抑郁症恶劣心境抑郁发作的表现可分为核心症状心理症状群与躯体症状群三个方面
部署是一个动词读音为bsh指安排布置处理料理语出史记项羽本纪梁部署吴中豪杰为校尉候司马	撤回汉语词汇拼音chhu释义指撤退回来撤退回到
阿拉法特是中国少年儿童出版社出版的图书作者是舒风著1	和平是外文出版社出版的图书作者是吴根友著1
计算机computer俗称电脑是现代一种用于高速计算的电子计算机器可以进行数值计算又可以进行逻辑计算还具有存储记忆功能是能够按照程序运行自动高速处理海量数据的现代化智能电子设备由硬件系统和软件系统所组成没有安装任何软件的计算机称为裸机可分为超级计算机工业控制计算机网络计算机个人计算机嵌入式计算机五类较先进的计算机有生物计算机光子计算机量子计算机等计算机发明者约翰冯诺依曼计算机是20世纪最先进的科学技术发明之一对人类的生产活动和社会活动产生了极其重要的影响并以强大的生命力飞速发展它的应用领域从最初的军事科研应用扩展到社会的各个领域已形成了规模巨大的计算机产业带动了全球范围的技术进步由此引发了深刻的社会变革计算机已遍及一般学校企事业单位进入寻常百姓家成为信息社会中必不可少的工具计算机的应用在中国越来越普遍改革开放以后中国计算机用户的数量不断攀升应用水平不断提高特别是互联网通信多媒体等领域的应用取得了不错的成绩1996年至2009年计算机用户数量从原来的630万增长至6710万台联网计算机台数由原来的29万台上升至5940万台互联网用户已经达到316亿无线互联网有67亿移动用户其中手机上网用户达117亿为全球第一位	新闻1也叫消息资讯是通过报纸电台广播电视台等媒体途径所传播信息的2一种称谓是记录社会传播信息反映时代的一种文体新闻概念有广义与狭义之分就其广义而言除了发表于报刊广播互联网电视上的评论与专文外的常用文本都属于新闻之列包括消息通讯特写速写有的将速写纳入特写之列等等3狭义的新闻则专指消息消息是用概括的叙述方式比较简明扼要的文字迅速及时地报道国内外新近发生的有价值的事实让别人了解每则新闻一般包括标题电头导语主体背景和结语六部分前四者是主要部分后二者是辅助部分标题导语主体必不可少写法上主要是叙述有时兼有议论描写评论等新闻是包含海量资讯的新闻服务平台真实反映每时每刻的重要事件可以通过查看新闻事件热点话题人物动态产品资讯等快速了解它们的最新进展4
阿拉法特是中国少年儿童出版社出版的图书作者是舒风著1	恐怖2005年上海人民出版社出版的图书1
中国国家最新标准汽车和挂车类型的术语和定义GBT373012001中对汽车有如下定义由动力驱动具有4个或4个以上车轮的非轨道承载的车辆主要用于载运人员和或货物牵引载运人员和或货物的车辆特殊用途国产汽车品牌有集度五菱宝骏红旗长安长城奇瑞吉利荣威比亚迪蔚来小鹏汽车东风等国外汽车品牌有丰田大众奥迪奔驰现代起亚标致凯迪拉克日产等	航班是指以航空器从事乘客邮件或货物的公共运输的任何定期航班也指某一班次的客轮或客机或客轮或客机航行的班次由各个航空公司的两字代码加4位数字组成航空公司代码由民航局规定公布后面的四位数字第一位代表航空公司的基地所在地区第二位表示航班的基地外终点所在地区1为华北2为西北3为华南4为西南5为华东6为东北8为厦门9为新疆第三第四位表示这次航班的序号单数表示由基地出发向外飞的去程航班双数表示飞回基地的回程航班
聪明是汉语词语拼音是cngmngcngming意思是用来表达对待人事物有着好的想法和正确的逻辑一般是用来赞美的词语	学生也叫学子一般指正在学校学堂或其他学习地方受教育的人而在研究机构或工作单位如医院研究所学习的人也称学生根据学习的不同阶段我们可以把学生分为幼儿园学生小学生中学生高等院校学生大学生硕士研究生博士研究生等等学生是一种身份的名词具有学籍的人都统称学生
心理学是2006年10月01日人民邮电出版社出版发行的图书作者是美戴维迈尔斯1	恐惧2004年01月由江苏人民出版社出版发行的图书作者是弗兰克富里迪1
皮肤是福茂唱片发行于2013年10月的一首国语流行歌曲由陈势安演唱所属专辑为非你不可	眼睛是由歌手张敬轩作词作曲并演唱的一首歌曲收录在张敬轩2004年11月1日发行的专辑AmPm中12
发现是2018年北岳文艺出版社出版的图书1	太空是2021年青岛出版社出版的图书1
杯子是宋剑伍写的一首诗	物质是金朝刁白的创作的一首诗
墨西哥合众国西班牙语EstadosUnidosMexicanos英语UnitedMexicanStates简称墨西哥领土面积19644万平方公里是拉丁美洲第三大国位居世界第十四位位于北美洲南部拉丁美洲西北端墨西哥全国总人口128亿2020年印欧混血人和印第安人占总人口的90以上全国划分为32个州首都墨西哥城已由联邦区改为州州下设市镇和村首都为墨西哥城CiudaddeMxico1墨西哥是美洲大陆印第安人古文化中心之一1521年沦为西班牙殖民地11821年墨西哥独立战争后建立墨西哥第一帝国1823年被军事政变推翻1824年建立墨西哥合众国1848年美墨战争后被迫将位于北部的近三分之一领土割让给美国11863年在法国的扶持下建立墨西哥第二帝国1910年爆发墨西哥革命推翻了独裁统治最终促成了1917年宪法的制定和现行政治体制的建立1墨西哥是拉美经济大国美墨加协定原北美自由贸易区成员世界最开放的经济体之一同50个国家签署了自贸协定据统计2020年国内生产总值104万亿美元同比下降9人均国内生产总值8400美元通胀率34失业率382020年12月底外汇储备19567亿美元1	巴西联邦共和国葡萄牙语RepblicaFederativadoBrasil英语TheFederativeRepublicofBrazil简称巴西Brazil1国土总面积85149万平方公里是南美洲最大的国家1居世界第五2总人口21亿2020年与乌拉圭阿根廷巴拉圭玻利维亚秘鲁哥伦比亚委内瑞拉圭亚那苏里南法属圭亚那十国接壤全国共分为26个州和1个联邦区1巴西原为印第安人居住地1500年4月22日葡萄牙航海家佩德罗阿尔瓦雷斯卡布拉尔抵达巴西16世纪30年代沦为葡萄牙殖民地11808年拿破仑入侵葡萄牙葡王室流亡巴西拿破仑战败后葡王室重回里斯本王子佩德罗则留在巴西担任摄政11822年9月7日佩德罗王子宣布巴西脱离葡萄牙独立称佩德罗一世建立巴西帝国1889年11月15日丰塞卡将军发动政变推翻帝制成立巴西合众国1964年3月31日军人执政实行独裁统治1967年改为现国名1985年1月军政府下台1989年首次以全民直接选举方式举行大选1巴西是里约集团南方共同市场南美进步论坛和20国集团成员国与阿根廷和智利并称为ABC国家1巴西是金砖国家之一拥有丰富的自然资源和完整的工业基础国内生产总值位居南美洲第一为世界第七大经济体3足球是巴西人文化生活的主流运动因此巴西享有足球王国的美誉1
消费者指的是不能利用无机物质制造有机物质的生物其不能直接利用太阳能来生产食物只能直接或间接地依赖于生产者所制造的有机物质的异养生物1消费者不仅对初级生产物起着加工再生产的作用而且许多消费者对其他生物种群起着重要的调控作用在生态系统物质循环和能量流动中也起着重要的作用促进了整个生态系统循环和发展维持着生态系统的稳定1	能源是指能够提供能量的资源这里的能量通常指热能电能光能机械能化学能等可以为人类提供动能机械能和能量的物质能源按来源可分为三大类1来自太阳的能量包括直接来自太阳的能量如太阳光热辐射能和间接来自太阳的能量如煤炭石油天然气油页岩等可燃矿物及薪材等生物质能水能和风能等2来自地球本身的能量一种是地球内部蕴藏的地热能如地下热水地下蒸汽干热岩体另一种是地壳内铀钍等核燃料所蕴藏的原子核能3月球和太阳等天体对地球的引力产生的能量如潮汐能1
行星是由王大辉作词陈大创作曲大籽演唱的歌曲收录于同名专辑行星发行于2020年8月23日1	歌曲太阳由郑宜农作词作曲并演唱于2011年7月8日发行收录于专辑海王星1
期刊定期出版的刊物如周刊旬刊半月刊月刊季刊半年刊年刊等由依法设立的期刊出版单位出版刊物期刊出版单位出版期刊必须经新闻出版总署批准持有国内统一连续出版物号领取期刊出版许可证	协会是指由个人单个组织为达到某种目标通过签署协议自愿组成的团体或组织中文将英语Association译作协会和工会组织的概念不同协会常指包括职业雇主行业学术和科学等方面为达成某种目标而成立的组织工会多指被雇用者为确保自身权益特别是经济利益而成立的组织多集中于雇佣者和被雇佣者的关系
医生钻研学习医学科学技术挽救生命以治病为业的人一般指临床医师按照卫生部卫健委医政部有关医疗卫生管理条例的法律法规主持医患沟通学术讨论新技术推广预后分析公众教育护理示教康复培训出院教育执行卫生防疫计生大病早期识别干预等法律政治责任承担部分课题研究等工作预防出生缺陷提高人口素质治病救人履行病情如实告知合理检查合理开药正确诊断积极治疗的责任提高医生职业风险和医疗事故安全法律意识避免误诊漏诊控制医源性继发损害纠正违章作业等法律责任通过定期临床理论考试技能考核培训能够熟练掌握临床必要的医学技能和必要的医学理论如影像学解剖学病理学医学遗传学药物化学康复医学生育保健学临床法医学等取得执业资格不得夸大病情吓唬病人延误时机造成事故要按照行业规范开展诊疗活动医生古代称大夫或郎中新中国成立后我国涌现了大量赤脚医生一度达到150多万名现在大夫一词在北方人中也常用在欧美医生普遍被称为Physician只有外科医生被称呼为Surgeon外科医生的法语称呼为DecinMedusan德语是Arztarutsuto但在英联邦英国外科医生今天还以密司脱称呼	人员读作rnyun汉语词汇通常指受雇的人的整体如在一个工厂办公室或组织机构内或者担任某种工作或某种职务的人1人员近义人士也可比如各界人士也代表各种人员
美元UnitedStatesdollar货币缩写USDISO4217货币代码USD符号USA是美利坚合众国萨尔瓦多共和国巴拿马共和国厄瓜多尔共和国东帝汶民主共和国马绍尔群岛共和国密克罗尼西亚联邦基里巴斯共和国和帕劳共和国的法定货币流通的美元纸币是自1929年以来发行的各版钞票1792年美国铸币法案通过后出现当前美元的发行是由美国联邦储备系统控制自1913年起美国建立联邦储备制度发行联邦储备券现行流通的钞票中99以上为联邦储备券美元的发行主管部门是国会具体发行业务由联邦储备银行负责办理在二战以后欧洲大陆国家与美国达成协议同意使用美元进行国际支付此后美元作为储备货币在美国以外的国家广泛使用并最终成为国际货币1截止2021年12月16日晚10点里拉对美元汇率已经超过156创下新低2021年以来里拉对美元贬值幅度超过503	利润是企业家的经营成果是企业经营效果的综合反映也是其最终成果的具体体现1
部长是指特指中央政府国务院部门的首长在政府首脑之下负责特定范畴工作如国防环境财政司法教育等担负起政府运作的重责大任在实行内阁制的国家地区部长是内阁的构成成员故又被称为阁员或阁臣如国家体制为君主制则通常称为大臣在中华人民共和国部长为中央人民政府国务院下属各部门的负责人一般由国务院总理提名全国人民代表大会任命国家主席签署主席令任命1中共中央任命23	政党指由一定阶级领导的并代表本阶级利益的社会政治组织政党有特定的政治目标和意识形态针对国家和社会议题有各自的主张定立政纲展示愿景1社会承认其具有组织与扩张其主张的合法权力其也积极介入到政治生活中为取得或维护政权或影响政治权力的行使而发挥自己的作用
股票是2004年科学出版社出版的图书作者是日杉村富生1	生活Life美国图画杂志1936年卢斯HenryRobinsonLuce18981967创办于纽约原为周刊1978年9月改月刊时代出版公司出版内容以专题照片特写为主题材广泛13
马拉松Marathon长跑是国际上非常普及的长跑比赛项目全程距离26英里385码折合为42195公里也有说法为42193公里分全程马拉松FullMarathon半程马拉松HalfMarathon和四分马拉松QuarterMarathon三种以全程马拉松比赛最为普及一般提及马拉松即指全程马拉松2022年9月25日在第48届柏林马拉松上肯尼亚名将埃鲁德基普乔格以2小时01分09秒完赛超越了此前由他本人保持的2小时01分39秒的世界纪录20	短跑是田径竞赛项目的其中一类一般包括50米跑60米跑100米跑200米跑400米跑4100米接力跑等几项其运动特性人们同时以最快的速度在田径跑道上跑完规定的距离并以最先跑完者为获胜者的项目在人体机能供能方面短跑表现为人体以最大限度地发挥人的速度极限本能并以无氧代谢供能的方式供能
聪明是由艾怡良创作词曲并演唱的歌曲收录于艾怡良2021年10月29日发行的专辑偏偏我却都记得中1	笨是吴日言演唱的一首歌曲由奥斯卡作词古驰作曲收录于2005年12月1日发行的专辑512Trio中
公告是指政府团体对重大事件当众正式公布或者公开宣告宣布国务院2012年4月16日发布2012年7月1日起施行的党政机关公文处理工作条例对公告的使用表述为适用于向国内外宣布重要事项或者法定事项其中包含两方面的内容一是向国内外宣布重要事项公布依据政策法令采取的重大行动等二是向国内外宣布法定事项公布依据法律规定告知国内外的有关重要规定和重大行动等	警告汉语词汇拼音jnggo释义一种警戒性的纪律制裁方式也是最轻微的一种制裁方式是指公务员的行为已经构成了违纪应当予以及时纠正和警示12017年12月1日公共服务领域英文译写规范正式实施规定警告标准英文名为Notice2
壁柜cabinet又称内嵌壁柜是指住宅套内与墙壁结合而成的落地或悬挂贮藏空间壁柜是指在墙体上留出空间而成的橱也叫作壁橱如果你的房里没有充足的空间容得下全尺寸的壁橱那麽一只吊衣柜或许就够用了这些吊衣柜也有许多样式可供选择多数是松木与挑花心木制的传统型式它们的外表看起来像个带抽屉的普通衣柜然而一打开便显露出挂衣服的空间而且也有抽屉的安排	衣服指穿在身上遮体御寒并起美化作用的物品今泛指身上穿的各种衣裳服装衣服的本意是指防寒保暖护身的介质在现代社会衣服成为人体的装饰物品更多是象征着一个人的生活水准消费层次和社会地位身份的参考品但同时也起到了原始不变的基本功能只是质地上的区别而已古代御寒之衣有裘袍茧等裘是皮衣毛朝外说文古者衣裘以毛为表兽毛外露不好看贵族在朝拜祭礼或待客时要罩上一件衣服称为裼衣裼衣根据不同身份不同的场合也有不同的形制和颜色
僧侣是多米尼克摩尔执导的悬疑片文森特卡索和黛博拉弗朗索瓦出演该片讲述了一位布道者相信自己不会被任何欲望诱惑而一名新来的女孩动摇了他的信念使他走上触犯原罪的道路的故事	摇钱树是斯蒂芬赫瑞克执导的喜剧片艾迪墨菲和杰夫高布伦出演该片讲述了一名天生具有领袖魅力的教徒发挥能言善道的天赋来吸引消费者的故事
利润是企业家的经营成果是企业经营效果的综合反映也是其最终成果的具体体现1	损失是一个汉语词汇读音为snsh指失去东西不会有补偿也指损毁丧失毁坏损失既可作动词也可作名词反义词是收益收获
和平是外文出版社出版的图书作者是吴根友著1	保险是2004年科学出版社出版的作品作者是上山道生
生活是一个汉语词语拼音是shnghu意思有1生存2使活命3指恤养活人4指为生存发展而进行各种活动5指为生存发展而进行各种活动的经验6指衣食住行等方面的情况境况7指生长8指家产生计9活儿工作10指生活费用11指用品器物12美事美好的时光13笔的别称1广义上指人的各种活动包括日常生活行为学习工作休闲社交娱乐等生活是比生存更高层面的一种状态	课拼音k是汉语通用规范一级字1最早见于战国文字本义是考核引申为检测征收赋税差派劳役学习作业等义2基本信息栏参考资料34
埋葬死人的地方坟地主要是指人去世后将遗体或骨灰式遗物统一集中到一个统一的地点这是人类发展历史上的文明和进步如今随着城市化的发展城市人口的增多公墓建设成为了城市发展的必然2018年9月7日民政部公布殡葬管理条例征求意见稿条例拟规定安葬骨灰的独立墓位占地面积不得超过05平方米1	林地是森林的载体是森林物质生产和生态服务的源泉是森林资源资产的重要组成部分森林法规定林地是指郁闭度02以上的乔木林地以及竹林地疏林地未成林造林地灌木林地采伐迹地火烧迹地苗圃地和县级以上人民政府规划的宜林地在进行经济效益评估时主要是对各类型林地面积及其价值进行评估12021年8月26日上午自然资源部召开新闻发布会公布第三次全国国土调查主要数据成果数据显示我国林地426亿亩2
