老虎谍战电视剧暗算中的角色由王寅饰演1	老虎谍战电视剧暗算中的角色由王寅饰演1
对于判例必须分别来看在民法法系判例是非正式的法律渊源除了个别情况外理论上不承认判例具有约束力在普通法法系判例是正式的法律渊源即判例法公共政策是有关必须达到集体目的或目标的一种政治决定这种决定一般来说旨在改善经济政治或者社会的境况或旨在促进整个社会的某种集体目标的实现事物性质实际上是一种知识或人们对事物内在规律的认识1	前情汉语词语拼音是qinqng释义1先前的情况2先前的感情1
黄瓜学名CucumissativusL葫芦科一年生蔓生或攀援草本植物茎枝伸长有棱沟被白色的糙硬毛卷须细叶柄稍粗糙有糙硬毛叶片宽卵状心形膜质裂片三角形有齿雌雄同株雄花常数朵在叶腋簇生花梗纤细被微柔毛花冠黄白色花冠裂片长圆状披针形雌花单生或稀簇生花梗粗壮被柔毛子房粗糙果实长圆形或圆柱形熟时黄绿色表面粗糙种子小狭卵形白色无边缘两端近急尖花果期夏季中国各地普遍栽培且许多地区均有温室或塑料大棚栽培现广泛种植于温带和热带地区黄瓜为中国各地夏季主要菜蔬之一茎藤药用能消炎祛痰镇痉1概述图片来源2	落花生学名ArachishypogaeaLinn豆科落花生属的一年生草本植物根部有丰富的根瘤茎和分枝均有棱叶纸质对生叶柄基部抱茎卵状长圆形至倒卵形先端钝圆形两面被毛边缘具睫毛叶脉边缘互相联结成网状花长约8毫米苞片披针形花冠黄色或金黄色旗瓣开展翼瓣与龙骨瓣分离长圆形或斜卵形花柱延伸于萼管咽部之外荚果膨胀荚厚68月花果期分布于巴西中国埃及等地落花生中国各地均有种植主要分布于辽宁山东河北河南江苏福建广东广西四川吉林等省区落花生的果实为荚果果壳的颜色多为黄白色也有黄褐色褐色或黄色的这与花生的品种及土质有关花生果壳内的种子通称为花生米或花生仁由种皮子叶和胚三部分组成种皮的颜色为淡褐色或浅红色种皮内为两片是生产食用植物油的原料花生果仁中提取油脂呈透明淡黄色味芳香种子含脂肪油4050含氮物质2030淀粉821纤维素25水分58灰分24维生素等1花生米可以加工成副食品概述图参考来源中国自然标本馆2
国王简称王是国际象棋中的一种棋子英文为king是决定胜负的棋子也是双方在棋盘上争夺的目标与中国象棋的将帅类似一旦国王被对方棋子吃掉或者国王无法摆脱对方棋子的攻击范围就算输棋国王是国际象棋中最重要的棋子国际象棋的最终目标就是吃掉对方的国王以及保护自己的国王不被对方吃掉	中国象棋以及国际象棋的一种棋子国际象棋称其为城堡在二者中走法极其相似中国古代四人二马的战车为一车音j在国际象棋中原意为Rook城堡
对于判例必须分别来看在民法法系判例是非正式的法律渊源除了个别情况外理论上不承认判例具有约束力在普通法法系判例是正式的法律渊源即判例法公共政策是有关必须达到集体目的或目标的一种政治决定这种决定一般来说旨在改善经济政治或者社会的境况或旨在促进整个社会的某种集体目标的实现事物性质实际上是一种知识或人们对事物内在规律的认识1	例子是汉语词汇拼音lzi意思是客观存在的旧规惯例也指性质类同的事物中具有代表性的单个多用于解释说明
聪明是由艾怡良创作词曲并演唱的歌曲收录于艾怡良2021年10月29日发行的专辑偏偏我却都记得中1	愚蠢是由权振东作词作曲并演唱的歌曲收录在2016年9月26日发行的专辑探险家中1
飞机是2019年湖南少年儿童出版社出版的图书1	轿车是2015年吉林出版集团有限责任公司出版的图书该书讲述了关于轿车的贴纸游戏的内容
龙虾是张钰于2017年创作的油画作品一开始拍的是一只完整的龙虾没有感觉拆散之后有了画意最早是在宁波美术馆的经典与传承第三届全国中青年写实绘画名家作品邀请展中展出2018年参加西安亮宝楼美术馆的唯美精神第二届中国当代经典写实人物油画名家作品展2019年参加先声画廊的展览画布上的视觉青年写实艺术展	葡萄酒是2017年中国摄影出版社出版的图书1
虎学名Pantheratigris俗称老虎是哺乳纲大型猫科动物是亚洲的特有种类原产地主要是东北亚和东南亚虎是种高度进化的猎食动物也是自然界生态中不可或缺的一环成年虎的身长可达225米尾长1米重达90220公斤在它庞大的体型与有力肌肉之外它们最显著的特征就是在白色或橘红色的毛皮上有黑色垂直的条纹它们下半部的颜色较淡凶猛至极力量极大有森林之王百兽之王之称古称南山白额王出处宋苏辙湖阴曲老虎穴中卧猎夫不敢窥元王恽赵邈龊虎图行耽耽老虎底许来抱石踞坐何雄哉	动物群是分布于一定地区环境或时代历史上形成起来的各种动物的总体在古生物学中常按动物类别分布地区或地史时代等进行划分命名其范围大小并无一定按分布地区划分的如华北型动物群东南型动物群按地史时代划分的如寒武纪动物群早寒武世动物群按生物类别划分的如珠角石动物群直角石动物群等1
心理学是一门研究人类心理现象及其影响下的精神功能和行为活动的科学兼顾突出的理论性和应用实践性心理学包括基础心理学与应用心理学其研究涉及知觉认知情绪思维人格行为习惯人际关系社会关系人工智能IQ性格等许多领域也与日常生活的许多领域家庭教育健康社会等发生关联心理学一方面尝试用大脑运作来解释个体基本的行为与心理机能同时心理学也尝试解释个体心理机能在社会行为与社会动力中的角色另外它还与神经科学医学哲学生物学宗教学等学科有关因为这些学科所探讨的生理或心理作用会影响个体的心智实际上很多人文和自然学科都与心理学有关人类心理活动其本身就与人类生存环境密不可分心理学家从事基础研究的目的是描述解释预测和影响行为应用心理学家还有第五个目的提高人类生活的质量这些目标构成了心理学事业的基础心理学符号在希腊语里是灵魂的意思后来变成英文psyche	学科有以下三种含义按照学问的性质依据学术的性质而划分的科学门类如自然科学中的物理学化学社会科学中的历史学语言学学校教学的科目如语文数学英语军事训练或体育训练中的各种理论知识性的科目区别于术科第一种含义学术分类指一定科学领域或一门科学的分支如自然科学中的1110数学120信息科学与系统科学130力学140物理学农业科学中的210农学220林学230畜牧兽医科学学科是与知识相联系的一个学术概念是A自然科学B农业科学C医药科学D工程与技术科学E人文与社会科学五大科学知识系统也有自然社会人文三大科学学科之说知识子系统的集合概念第二种含义教学科目指义务教育中等职业教育高等教育等教学活动的课程科目是中小学学位授予单位等教育部门对教师教学人才培养学位授予的科目分类与界定并用于学科建设和教育统计分类等工作学科建设中学科的含义侧重后者但与第一个含义也有关联第三种含义理论知识指在军事体育等体能训练中的各种知识的科目不同于技术性的术科
玻璃是非晶无机非金属材料一般是用多种无机矿物如石英砂硼砂硼酸重晶石碳酸钡石灰石长石纯碱等为主要原料另外加入少量辅助原料制成的它的主要成分为二氧化硅和其他氧化物1普通玻璃的化学组成是Na2SiO3CaSiO3SiO2或Na2OCaO6SiO2等主要成分是硅酸盐复盐是一种无规则结构的非晶态固体广泛应用于建筑物用来隔风透光属于混合物另有混入了某些金属的氧化物或者盐类而显现出颜色的有色玻璃和通过物理或者化学的方法制得的钢化玻璃等有时把一些透明的塑料如聚甲基丙烯酸甲酯也称作有机玻璃	金属一般指具备特有光泽即对可见光强烈反射而不透明具有延展性及导热导电性的一类物质狭义的金属概念为由金属元素组成的单质4纯金属在常温下一般都是固体汞除外大多数为电和热的优良导体密度较大熔点较高1地球上的金属资源广泛地存在于地壳和海洋中除少数很不活泼的金属如金银等有单质形式存在外其余都以化合物的形式存在1金属在自然界中广泛存在在生活中应用极为普遍在现代工业中是非常重要和应用最多的一类物质
这是一个单打独斗孤身搏击遭迫害受欺凌不被人们理解的英雄的故事这是一个拒绝向任何教会恐吓潮流思想教条和所谓的绝对原则妥协的人的故事这是一个渴望自由的男人的故事这是一个不随波逐流不听天由命有独立思想的并因此被人杀害的男子汉的悲剧故事作为一个男人意味着什么采访女王法拉奇代表作意大利首版发行100万册以上其后再印达25次被翻译为20多种语言风靡全世界并获得意大利总统亲自颁发的维亚雷焦文学奖2021年4月由新星出版社出版	省长Governor是省级行政区的行政机构首长是中央人民政府国务院下属地方的国家行政机关负责人行政级别为省部级正职1在中国即为省人民政府首长由省人民代表大会选举和罢免由中共中央国务院批准港澳地区称为特别行政区行政长官特首由港澳地区选举产生中央人民政府国务院总理颁发任命的国务院令任命特别行政区行政长官特首23行政特区特首进京述职要向国家领导人汇报本地区情况4
双枪是网游枪神纪中的主要职业之一1医生是枪神纪中的辅助型职业医生在战场中拥有强大的辅助能力能够以麻醉枪减速敌人也能以治疗技能为队友治疗和去除减益状态是战场上不可缺少的一员2	员工是指企业单位中各种用工形式的人员包括固定工合同工临时工以及代训工和实习生现代单位的员工跟以往比较有很大的不同他们的素质相对比较高知识性强
旅是旅行外出即为了实现某一目的而在空间上从甲地到乙地的行进过程游是外出游览观光娱乐即为达到这些目的所作的旅行二者合起来即旅游所以旅行偏重于行旅游不但有行且有观光娱乐含义中央纪委国家监委网站的相关统计数据显示中秋国庆期间违反中央八项规定精神问题监督举报曝光专区近三年中通报了989起案例其中数量排名第五位的是公款国内旅游109起12021年国内旅游总人次3246亿同比增长128国内旅游收入旅游总消费292万亿元同比增长31010	活动是由共同目的联合起来并完成一定社会职能的动作的总和活动由目的动机动作和共同性构成具有完整的结构系统苏联心理学家从20年代起就对活动进行了一系列研究其中列昂节夫的活动理论对苏联心理学的发展影响很大成为现代苏联心理学的重要理论基石
僧侣是多米尼克摩尔执导的悬疑片文森特卡索和黛博拉弗朗索瓦出演该片讲述了一位布道者相信自己不会被任何欲望诱惑而一名新来的女孩动摇了他的信念使他走上触犯原罪的道路的故事	摇钱树是斯蒂芬赫瑞克执导的喜剧片艾迪墨菲和杰夫高布伦出演该片讲述了一名天生具有领袖魅力的教徒发挥能言善道的天赋来吸引消费者的故事
杯子是一种专门盛水的器皿其主要功能都是用来饮酒或饮茶一般容积不大或在古代喝茶的杯子被称为盖碗基本器型大多是直口或敞口口沿直径与杯高近乎相等有平底圈足或高足考古资料表明最早的杯始见于新石器时代无论是在仰韶文化龙山文化还是河姆渡文化遗址中都见有陶制杯的存在这一时期杯型最为奇特多样带耳的有单耳或双耳杯带足的多为锥形三足杯觚形杯高柄杯等等根据制作材料不同可以分为玻璃杯塑料杯陶瓷杯木杯等2	食物英文Food是指能够满足机体正常生理和生化能量需求并能延续正常寿命的物质对人体而言能够满足人的正常生活活动需求并利于寿命延长的物质称之为食物食物通常是由碳水化合物脂肪蛋白质水构成能够藉进食或是饮用为人类或者生物提供营养或愉悦的物质食物的来源可以是植物动物或者其他界的生物例如真菌亦或发酵产品像是酒精人类借由采集耕种畜牧狩猎渔猎等许多种不同的方式获得食物
期刊定期出版的刊物如周刊旬刊半月刊月刊季刊半年刊年刊等由依法设立的期刊出版单位出版刊物期刊出版单位出版期刊必须经新闻出版总署批准持有国内统一连续出版物号领取期刊出版许可证	联盟马来语Perikatan英语Alliance是1951年成立于马来亚联合邦的政党联盟由巫统马华公会及马来西亚印度人国大党三个政党所组成1957年8月31日马来亚联合邦独立后联盟组成联邦政府1963年9月16日成立马来西亚1965年8月8日新加坡退出马来西亚1969年联盟在5月10日的选举中受到重挫随后发生了种族骚乱五一三事件后联盟寻求更多政党加盟终在于1974年7月1日解散并扩大原来组织成为现今马来西亚国民阵线
街道是由林俊杰演唱的歌曲由DrMoon和MrMars作词林俊杰作曲收录于林俊杰2008年10月18日发行的专辑JJ陆中该歌曲是电视剧爱情睡醒了的插曲	孩子是由歌手朱婧汐作词作曲并演唱的歌曲收录于EP她中是该EP的双主打歌之一于2013年11月25日发行12014年9月12日该曲又被朱婧汐收录于个人首张创作专辑以梦为马中22015年该曲获得2014年度广州新音乐十大金曲排行榜最佳MV金奖3
轿车salooncar是指用于载送人员及其随身物品且座位布置在两轴之间的汽车包括驾驶者在内座位数最多不超过九个一般轿车强调的是舒适性以乘员为中心而且是从经济性考虑出发选择马力适中排量小耗油量小的发动机在中国内地的行驶证管理方面轿车特指区别于货车皮卡SUV大巴中巴的小型汽车俗称为小轿车在香港轿车又称私家车	航班是指以航空器从事乘客邮件或货物的公共运输的任何定期航班也指某一班次的客轮或客机或客轮或客机航行的班次由各个航空公司的两字代码加4位数字组成航空公司代码由民航局规定公布后面的四位数字第一位代表航空公司的基地所在地区第二位表示航班的基地外终点所在地区1为华北2为西北3为华南4为西南5为华东6为东北8为厦门9为新疆第三第四位表示这次航班的序号单数表示由基地出发向外飞的去程航班双数表示飞回基地的回程航班
空间是2011年东南大学出版社出版的图书1	化学是2021年航空工业出版社出版的图书1
情况是一个名词读音为qngkung是指情形情景出自堕及妻赵氏墓志情况也有指事情的来龙去脉等意思	总结汉语词语读音为zngji意思是总地归结
老虎是2018年中国书籍出版社出版的图书作者是崔钟雷1	生物是2018年河南大学出版社出版的图书1
蚊mosquito属于双翅目Diptera蚊科Culicidae又称蚊子是最重要的医学昆虫类群蚊分布很广种类很多迄今为止全世界已记录蚊虫共3亚科巨蚊亚科按蚊亚科库蚊亚科35属3600多种和亚种中国已发现370余种其中按蚊库蚊伊蚊3个属的蚊种超过半数	相似性所属现代词是对两个个体或部分之间的精细结构或性质等元素的一致性的评价广泛应用于数学结构模型化学语言等领域
和平是2005年网络游戏劲乐团中的世界比赛曲目由Allo2SEo2SE全体成员创作	计划是罗密欧方程式中的纯音乐1
消费者指的是不能利用无机物质制造有机物质的生物其不能直接利用太阳能来生产食物只能直接或间接地依赖于生产者所制造的有机物质的异养生物1消费者不仅对初级生产物起着加工再生产的作用而且许多消费者对其他生物种群起着重要的调控作用在生态系统物质循环和能量流动中也起着重要的作用促进了整个生态系统循环和发展维持着生态系统的稳定1	能量energy简称能质量的时空分布可能变化程度的度量用来表示物理系统做功的本领现代物理学已明确了质量与能量之间的数量关系即爱因斯坦的质能关系式EMC能量的单位与功的单位相同在国际单位制中是焦耳J在营养学中除了用焦耳J作为能量单位以外有时也用卡路里cal作为能量单位1卡路里约等于4184焦耳在原子物理学原子核物理学粒子物理学等领域中也用电子伏特eV作为能量单位1电子伏特1602181019焦在理论物理领域也有用尔格erg作为能量单位的1尔格107焦能量以多种不同的形式存在按照物质的不同运动形式分类能量可分为核能机械能化学能内能热能电能辐射能光能生物能等这些不同形式的能量之间可以通过物理效应或化学反应而相互转化1各种场也具有能量在营养学中能量指的是食物中所含有的能被人体所吸收的化学能生物质能食物中的能量有时也可以称作热量正常成年人每天消耗的能量约为84106焦8400千焦NRV营养素参考值
明朝内阁是明朝建文四年1402年至崇祯十七年1644年的皇帝咨政机构此后权力逐渐增大后形成为明朝行政中枢内阁辅臣的人数为一人至七人不等辅臣奉使出外办事多自称阁部起初内阁大学士只具有顾问身份皇帝为最终决定的权力而大学士很少有参决的机会到明仁宗明宣宗时期地位日益受尊崇自此内阁的权力日益增大到明世宗中叶夏言严嵩等人执掌内阁地位赫然为真正的宰相亦可压制六部然而虽然首席内阁大学士或称内阁首辅有票拟的权力但却不得不依赖于内部太监送达批红1首辅大学士的职权如同以往的丞相但必须与宦官合作才能执掌大政如张居正结合冯保	文化男蒙古族北京市人生于1943年3月北京市农林科学院研究员国家注册咨询工程师投资北京市注册咨询师1965年8月毕业于北京农业大学农学系同年分配到新疆生产建设兵团从事基层工作1985年11月调入本院19912004年任本院综合所所长期间19941995年兼本院情报所所长20042006年任综合所首席专家学术委员会主任2006年4月退休兼任中国农学会立体农业分会副理事长中国农业技术经济研究会常务理事北京观光休闲农业行业协会常务理事北京城市科学研究会和北京市工程咨询协会理事荣获北京市先进工作者国家科技攻关计划先进个人等荣誉称号1
医院Hospital一词来自拉丁文原意为客人因为一开始设立时是供人避难还备有休息间使来者舒适有招待意图后来才逐渐成为满足人类医疗需求提供医疗服务的专业机构收容和治疗病人的服务场所医院是指按照法律法规和行业规范为病员开展必要的医学检查治疗措施护理技术接诊服务康复设备救治运输等服务以救死扶伤为主要目的的医疗机构其服务对象不仅包括有症状的病员和伤员也包括不能自理或活动受限有医疗护理依赖的老年人法医评定有医疗护理依赖或病情不稳定需要长期康复经常观察检查的重度病伤员或有其他特定的情况和人群如健康人如孕妇产妇新生儿以及完全健康的人如来医院进行体格检查或口腔清洁的人最初设立时是供人避难还备有娱乐节目使来者舒适有招待意图后来才逐渐成为收容和治疗病人的专门机构中华人民共和国2021年国民经济和社会发展统计公报显示2021年末年末全国共有医院医院36570个78	基础设施infrastructurebasicfacilities是指为社会生产和居民生活提供公共服务的物质工程设施是用于保证国家或地区社会经济活动正常进行的公共服务系统它是社会赖以生存发展的一般物质条件基础设施包括交通邮电供水供电商业服务科研与技术服务园林绿化环境保护文化教育卫生事业等市政公用工程设施和公共生活服务设施等它们是国民经济各项事业发展的基础在现代社会中经济越发展对基础设施的要求越高完善的基础设施对加速社会经济活动促进其空间分布形态演变起着巨大的推动作用建立完善的基础设施往往需较长时间和巨额投资对新建扩建项目特别是远离城市的重大项目和基地建设更需优先发展基础设施以便项目建成后尽快发挥效益
聪明是汉语词语拼音是cngmngcngming意思是用来表达对待人事物有着好的想法和正确的逻辑一般是用来赞美的词语	学生也叫学子一般指正在学校学堂或其他学习地方受教育的人而在研究机构或工作单位如医院研究所学习的人也称学生根据学习的不同阶段我们可以把学生分为幼儿园学生小学生中学生高等院校学生大学生硕士研究生博士研究生等等学生是一种身份的名词具有学籍的人都统称学生
调查是2014年上海译文出版社出版的一部图书作者是法克洛代尔2	努力是北方文艺出版社出版的图书作者是张一一著1
图像是人类视觉的基础是自然景物的客观反映是人类认识世界和人类本身的重要源泉图是物体反射或透射光的分布像是人的视觉系统所接受的图在人脑中所形成的印象或认识照片绘画剪贴画地图书法作品手写汉字传真卫星云图影视画面X光片脑电图心电图等都是图像1	表面是一个汉语词语读音是biomin是指人或事物的外表最外层
生命是韩红演唱的一首歌曲选自韩红专辑感动该歌倡导保护野生动物歌颂和平反对战争关注平凡人物等多个层面2005年由京文唱片出版并发行	期限2004马来西亚为光良写主打歌活动得奖歌曲是由光良演唱的一首流行歌曲收录于光良的音乐专辑童话
开始是1999年丁薇演唱的一首歌曲收录于专辑开始中1	比赛是电视剧功夫足球的主题曲由张卫健演唱发行于2004年
计算机computer俗称电脑是现代一种用于高速计算的电子计算机器可以进行数值计算又可以进行逻辑计算还具有存储记忆功能是能够按照程序运行自动高速处理海量数据的现代化智能电子设备由硬件系统和软件系统所组成没有安装任何软件的计算机称为裸机可分为超级计算机工业控制计算机网络计算机个人计算机嵌入式计算机五类较先进的计算机有生物计算机光子计算机量子计算机等计算机发明者约翰冯诺依曼计算机是20世纪最先进的科学技术发明之一对人类的生产活动和社会活动产生了极其重要的影响并以强大的生命力飞速发展它的应用领域从最初的军事科研应用扩展到社会的各个领域已形成了规模巨大的计算机产业带动了全球范围的技术进步由此引发了深刻的社会变革计算机已遍及一般学校企事业单位进入寻常百姓家成为信息社会中必不可少的工具计算机的应用在中国越来越普遍改革开放以后中国计算机用户的数量不断攀升应用水平不断提高特别是互联网通信多媒体等领域的应用取得了不错的成绩1996年至2009年计算机用户数量从原来的630万增长至6710万台联网计算机台数由原来的29万台上升至5940万台互联网用户已经达到316亿无线互联网有67亿移动用户其中手机上网用户达117亿为全球第一位	新闻1也叫消息资讯是通过报纸电台广播电视台等媒体途径所传播信息的2一种称谓是记录社会传播信息反映时代的一种文体新闻概念有广义与狭义之分就其广义而言除了发表于报刊广播互联网电视上的评论与专文外的常用文本都属于新闻之列包括消息通讯特写速写有的将速写纳入特写之列等等3狭义的新闻则专指消息消息是用概括的叙述方式比较简明扼要的文字迅速及时地报道国内外新近发生的有价值的事实让别人了解每则新闻一般包括标题电头导语主体背景和结语六部分前四者是主要部分后二者是辅助部分标题导语主体必不可少写法上主要是叙述有时兼有议论描写评论等新闻是包含海量资讯的新闻服务平台真实反映每时每刻的重要事件可以通过查看新闻事件热点话题人物动态产品资讯等快速了解它们的最新进展4
董事会是由江苏人民出版社主办的财经杂志	推荐拼音为tujin汉语词语意思是推荐介绍建议最好去选择你看中的答案推举出自汉书王莽传上
哥们是由星君演唱的歌曲收录于同名专辑哥们中	兄弟是由歌手Cblock演唱的歌曲该歌曲收录在歌曲合辑中1
食物是1993年上映的捷克斯洛伐克电影由杨史云梅耶导演BedrichGlaserLudvkSvb主演	公鸡是1990年由申承秀导演的韩国电影1
观察是2008年中国经济出版社出版的图书作者是马国川	建筑是2014年五洲传播出版社出版的图书作者是蔡燕歆1
海岸是由KD演唱作词作曲雨胜编曲的歌曲发行于2022年8月31日1	山丘由李宗盛作词作曲王韵壹演唱歌曲收录在2020年04月16日发行的专辑伊豆的舞女中1
部署是一个动词读音为bsh指安排布置处理料理语出史记项羽本纪梁部署吴中豪杰为校尉候司马	离开读音lki汉语词语释义为离去走开就是走的意思远离分离例如立即离开这个房间
基准是机械制造中应用十分广泛的一个概念机械产品从设计时零件尺寸的标注制造时工件的定位校验时尺寸的测量一直到装配时零部件的的装配位置确定等都要用到基准的概念基准就是用来确定生产对象上几何关系所依据的点线或面	生产者物价指数ProducerPriceIndexPPI是衡量工业企业产品出厂价格变动趋势和变动程度的指数是反映某一时期生产领域价格变动情况的重要经济指标也是制定有关经济政策和国民经济核算的重要依据
尝试汉语词汇拼音chngsh释义1试行试验2试探一般是指人的一种行为一种活动一种精神也是一种挑战尝试是做别人不敢做的事	恶评恶意的评价评分常见于对作品故意打低分或者网络不良消费者对商品进行恶意评价以获取不当的利益
消费者指的是不能利用无机物质制造有机物质的生物其不能直接利用太阳能来生产食物只能直接或间接地依赖于生产者所制造的有机物质的异养生物1消费者不仅对初级生产物起着加工再生产的作用而且许多消费者对其他生物种群起着重要的调控作用在生态系统物质循环和能量流动中也起着重要的作用促进了整个生态系统循环和发展维持着生态系统的稳定1	自信心confidence在心理学中与其最接近的是班杜拉ABandura在社会学习理论中提出的自我效能感selfefficacy的概念是指个体对自身成功应付特定情境的能力的估价自信与否原本是描述人在社会适应中的一种自然心境即人尝试用自己有限的经验去把握这个陌生世界时的那种忐忑不安的心理过程但我们必须清楚信心只是成功后的良性情绪自信不是自大自傲但从逻辑来讲依然有其盲目性而我们可以通过挑前面的位子坐练习正视别人把你走路的速度加快25练习当众发言等等方法建立我们自信的方法
开始是1999年丁薇演唱的一首歌曲收录于专辑开始中1	年是范晓萱作词Allen作曲范晓萱演唱的一首单曲
集中指把分散人物或事集合在一起集中精力	生活是一个汉语词语拼音是shnghu意思有1生存2使活命3指恤养活人4指为生存发展而进行各种活动5指为生存发展而进行各种活动的经验6指衣食住行等方面的情况境况7指生长8指家产生计9活儿工作10指生活费用11指用品器物12美事美好的时光13笔的别称1广义上指人的各种活动包括日常生活行为学习工作休闲社交娱乐等生活是比生存更高层面的一种状态
发展是文学理论名词指在小说创作中情节开端之后矛盾的多方面展开	发行著作权法术语指为满足公众的合理需求通过出售出租等方式向公众提供一定数量的作品复制件
剧院是任大卫的一首诗歌收录于诗集火车和其他	历史是谭剑飞创作的一首现代诗歌
情况是一个名词读音为qngkung是指情形情景出自堕及妻赵氏墓志情况也有指事情的来龙去脉等意思	隔离汉语词语拼音是gl意思是指断绝接触断绝往来隔断1出自阿房宫赋
利润是汕头大学出版社出版的图书作者是美卡伍德博士美贝莉著1	警告是由阿加塔亚历山大执导安娜贝拉沃丽丝爱丽丝伊芙主演的科幻惊悚片该片讲述了在将来的地球上探讨孤独死亡和生命的意义的故事该片于2021年10月22日在美国上映
媒体media一词来源于拉丁语Medius意为两者之间媒体是传播信息的媒介它是指人借助用来传递信息与获取信息的工具渠道载体中介物或技术手段也指传送文字声音等信息的工具和手段也可以把媒体看作为实现信息从信息源传递到受信者的一切技术手段媒体有两层含义一是承载信息的物体二是指储存呈现处理传递信息的实体媒是女字旁诗卫风氓中有匪我愆期子无良媒古语又讲天上无云不下雨地上无媒不成婚可见很早之前媒主要是在男女婚嫁中起传情达意的中介作用1	贸易是买卖或交易行为的总称通常指以货币为媒介的一切交换活动或行为其活动范围不仅包括商业所从事的商品交换活动还包括商品生产者或他人所组织的商品买卖活动不仅包括国内贸易还包括国与国之间的国际贸易在古代市场上不仅有物质商品贸易还有奴隶贸易在现代市场上除了有形的商品贸易外还有技术资金信息劳务以及保险旅游等无形的贸易活动1
机会是2016年中国文联出版社出版的图书作者是肖仁福本书主要讲述了从基层到高层从县乡到省市一本书写透官场上真实的那点事儿	诚信是2020年中国大百科出版社出版的图书作者是党怀兴2
对于判例必须分别来看在民法法系判例是非正式的法律渊源除了个别情况外理论上不承认判例具有约束力在普通法法系判例是正式的法律渊源即判例法公共政策是有关必须达到集体目的或目标的一种政治决定这种决定一般来说旨在改善经济政治或者社会的境况或旨在促进整个社会的某种集体目标的实现事物性质实际上是一种知识或人们对事物内在规律的认识1	信息指音讯消息通讯系统传输和处理的对象泛指人类社会传播的一切内容人通过获得识别自然界和社会的不同信息来区别不同事物得以认识和改造世界在一切通讯和控制系统中信息是一种普遍联系的形式1948年数学家香农在题为通讯的数学理论的论文中指出信息是用来消除随机不定性的东西创建一切宇宙万物的最基本单位是信息
建筑创刊于1954年5月15日是由中华人民共和国住房和城乡建设部主管建筑杂志社主办的住房和城乡建设系统类型期刊1据2020年5月建筑期刊官网显示建筑编委会共有编委57人1据建筑2020年第9期期刊内页显示建筑编辑部共有责任编辑1人编辑2人法律顾问1人2据2020年5月25日中国知网显示建筑出版文献共20612篇总被下载845810次总被引16008次2019版复合影响因子为01302019版综合影响因子为00333据2020年5月25日万方数据知识服务平台显示建筑文献量为14292篇基金论文量为56篇被引量为16695次下载量为161794次根据2017年中国期刊引证报告扩刊版数据显示建筑影响因子为0324	世纪杂志是由中央文史研究馆上海市文史研究馆联合主办的综合性文史双月刊世纪的前身是上海市文史研究馆主办的上海文史1989年1月上海文史创刊内部发行半年刊1991年改为季刊1992年获公开出版发行其时著名作家记者翻译家中央文史研究馆馆长萧乾先生为加强全国文史研究馆系统间的交流合作推动文史研究积累史料弘扬民族优秀文化提议将上海文史改由中央文史研究馆与上海市文史研究馆联合主办后经国务院领导指示同意新闻出版总署批准1993年7月世纪在上海创刊2
人口栏目由中央广播电视总台和国家卫生和计划生育委员会中国人口宣传教育中心承办节目开播于1987年前身中国人口2007年改为现名该节目是揭示生命奥秘传递生命科学探寻中国人口与经济人口与社会协调发展的一档专题栏目	发展发展是社会全面的进步包括物质文明精神文明与生态文明的进步人的素质提高与德智体能全面提升社会的可持续发展发展相对于增长而言增长狭义指的是按GDP来计算的国民收入提高经济总量增加经济规模扩大增长是直线的发展是系统的对称的全面的发展是价值的发展不是金钱的增长是效益的发展不是效率的增长是全面的发展不是片面的增长是辨证的发展不是线性的增长发展是人和自然人和社会这一代人和下一代人的对称和谐协调融合与可持续进步1发展指关于人类社会发展特别是社会主义经济社会发展科学的发展理念和发展理论科学发展观的第一要义中共十六大以来以胡锦涛为总书记的党中央围绕建设中国特色社会主义这个主题立足社会主义初级阶段基本国情总结我国发展实践借鉴国外发展经验适应新的发展要求继承和发展中央三代领导集体关于发展的重要思想提出了以人为本全面协调可持续发展的科学发展观词目发展拼音fzhn单词DevelopDeveloped发达Developing发展中Development发展是指一种连续发展是事物从出生开始的一个进步变化的过程是事物的不断更新不断的变化过程既有量的变化又有质的变化有正向的变化也有负向变化
股票是2004年科学出版社出版的图书作者是日杉村富生1	生活Life美国图画杂志1936年卢斯HenryRobinsonLuce18981967创办于纽约原为周刊1978年9月改月刊时代出版公司出版内容以专题照片特写为主题材广泛13
杯子是一种专门盛水的器皿其主要功能都是用来饮酒或饮茶一般容积不大或在古代喝茶的杯子被称为盖碗基本器型大多是直口或敞口口沿直径与杯高近乎相等有平底圈足或高足考古资料表明最早的杯始见于新石器时代无论是在仰韶文化龙山文化还是河姆渡文化遗址中都见有陶制杯的存在这一时期杯型最为奇特多样带耳的有单耳或双耳杯带足的多为锥形三足杯觚形杯高柄杯等等根据制作材料不同可以分为玻璃杯塑料杯陶瓷杯木杯等2	实物physicalentity是房地产中看得见摸得着的部分例如建筑物的结构设备装修外观土地的形状平整程度基础设施完备程度等实物是物质的基本形态在这里实物是指静止质量不等于零的物质也就是说物质世界是由大量不可分割的实物粒子所组成这些粒子具有广延性不可入性和不变质量这就是机械论中占主导地位的原子论纲领实物在淘宝领域是每个人都听说过的则摸得到的需要邮寄非虚拟的物品实物以间断形式存在的物质形态包括一切微观粒子原子分子宏观物体宇观天体和生命物质形态等1
